Gene ID,Gene Name,accessory axillary lymph node,adrenal gland,aorta,bone (os femoris),cecum,cerebellum,cerebral cortex,colon,corpora quadrigemina,corpus striatum,diencephalon,epididymis,eyeball,hippocampus,intestinal mucosa,intestine,lung,medulla oblongata,olfactory brain,ovary,pancreas,pituitary gland,prostate,skin,spinal cord,spleen,stomach,submandibular gland,testis,thymus,tongue,urinary bladder,uterus,vagina,vesicular gland
ENSMUSG00000000003,Pbsn,,,,,,,,,,,,,,,,,,,,,,0.7,87851,,,6,1,0.6,,,,374,,,12754
ENSMUSG00000000028,Cdc45,2,,,10,,,,1,,,,,,,,2,,0.6,,1,,0.7,,1,0.6,10,2,1,14,9,,,1,0.9,0.5
ENSMUSG00000000037,Scml2,0.5,0.7,0.6,,2,,0.7,,0.9,0.5,,0.8,0.8,1,,,,0.8,1,2,,0.7,,5,1,2,,0.6,,1,2,,2,0.6,
ENSMUSG00000000049,Apoh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,
ENSMUSG00000000056,Narf,20,6,12,52,19,31,25,27,24,30,19,13,25,23,28,16,11,21,17,9,29,9,17,16,20,60,19,12,3,35,26,15,12,16,13
ENSMUSG00000000058,Cav2,1,3,5,2,,,4,1,3,3,3,2,0.8,2,,,6,2,3,2,1,3,8,1,2,,1,2,,,1,4,1,1,6
ENSMUSG00000000078,Klf6,6,2,4,3,13,2,2,1,2,1,2,2,0.8,2,3,3,5,1,2,2,,3,2,5,1,2,5,3,0.6,0.9,2,2,1,2,4
ENSMUSG00000000085,Scmh1,0.8,1,1,0.9,2,2,1,1,1,0.9,1,4,2,2,,,2,1,2,4,3,2,3,2,1,1,6,4,19,2,3,4,9,2,5
ENSMUSG00000000088,Cox5a,31,49,283,81,234,75,105,194,115,93,121,59,58,83,268,207,39,155,93,37,48,20,60,47,136,54,276,111,315,61,246,46,56,61,33
ENSMUSG00000000094,Tbx4,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,1,,,
ENSMUSG00000000103,Zfy2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,
ENSMUSG00000000126,Wnt9a,,1,3,0.9,,,3,,,,2,4,2,2,,,3,0.5,0.6,4,4,3,0.9,2,0.7,,1,0.6,,,5,6,7,5,
ENSMUSG00000000127,Fer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,
ENSMUSG00000000131,Xpo6,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,12,0.6,,,,,
ENSMUSG00000000134,Tfe3,2,0.9,,0.9,2,,,,,0.9,0.6,1,,0.6,0.7,,1,,0.6,2,,1,,0.8,,1,,0.6,0.6,,0.9,,0.5,0.6,1
ENSMUSG00000000142,Axin2,0.5,1,,,,,1,0.8,,0.9,,1,,0.8,0.7,1,0.6,,0.6,0.7,,0.7,,1,,,,,,,0.9,,1,0.6,1
ENSMUSG00000000148,Brat1,11,9,5,10,,8,10,5,11,8,9,7,8,10,4,4,7,9,12,10,8,15,7,5,9,8,6,12,11,17,6,9,6,8,13
ENSMUSG00000000149,Gna12,4,8,5,7,,3,5,2,7,5,9,2,2,6,2,1,3,11,3,6,4,4,3,2,15,2,2,2,3,2,2,3,3,2,9
