Gene ID,Gene Name,brain,cerebellum,heart,kidney,liver,testis
ENSMUSG00000000001,Gnai3,10,11,8,35,28,14
ENSMUSG00000000028,Cdc45,0.6,2,2,1,0.8,14
ENSMUSG00000000037,Scml2,,,,,,3
ENSMUSG00000000049,Apoh,,,,8,1717,24
ENSMUSG00000000056,Narf,12,16,24,13,15,2
ENSMUSG00000000058,Cav2,7,2,6,9,0.9,
ENSMUSG00000000078,Klf6,9,5,15,11,2,2
ENSMUSG00000000085,Scmh1,7,5,7,3,1,17
ENSMUSG00000000088,Cox5a,119,124,614,222,139,126
ENSMUSG00000000093,Tbx2,0.7,1,3,19,2,0.9
ENSMUSG00000000103,Zfy2,,,,,,1
ENSMUSG00000000120,Ngfr,2,3,,0.8,1,6
ENSMUSG00000000125,Wnt3,1,6,,,,15
ENSMUSG00000000126,Wnt9a,4,,3,0.7,,
ENSMUSG00000000127,Fer,4,5,6,3,2,11
ENSMUSG00000000131,Xpo6,13,13,7,6,5,41
ENSMUSG00000000134,Tfe3,5,5,2,3,3,3
ENSMUSG00000000142,Axin2,5,5,1,0.8,2,0.9
ENSMUSG00000000148,Brat1,4,4,2,3,3,5
ENSMUSG00000000149,Gna12,36,40,55,38,38,17
ENSMUSG00000000154,Slc22a18,,0.5,,198,71,9
ENSMUSG00000000157,Itgb2l,,,,3,0.5,
ENSMUSG00000000159,Igsf5,,,,21,9,
ENSMUSG00000000167,Pih1d2,0.5,,,0.6,,12
ENSMUSG00000000168,Dlat,16,18,69,28,8,18
ENSMUSG00000000171,Sdhd,47,42,218,172,120,26
ENSMUSG00000000184,Ccnd2,17,3,31,7,3,1
ENSMUSG00000000194,Gpr107,5,7,5,6,3,6
ENSMUSG00000000197,Nalcn,18,15,,,,0.9
ENSMUSG00000000202,Btbd17,7,14,,,,
ENSMUSG00000000214,Th,8,10,,,,
ENSMUSG00000000216,Scnn1g,,0.5,,16,,
ENSMUSG00000000223,Drp2,13,5,,,,1
ENSMUSG00000000247,Lhx2,11,0.7,,,0.9,7
ENSMUSG00000000253,Gmpr,21,15,62,28,,3
ENSMUSG00000000263,Glra1,0.8,20,,,,
ENSMUSG00000000266,Mid2,4,4,2,4,0.6,
ENSMUSG00000000275,Trim25,2,4,10,21,19,3
ENSMUSG00000000276,Dgke,11,10,3,1,,2
ENSMUSG00000000278,Scpep1,7,8,8,60,17,12
ENSMUSG00000000282,Mnt,12,13,6,8,3,21
ENSMUSG00000000290,Itgb2,2,1,4,2,4,0.8
ENSMUSG00000000295,Hddc2,2,2,0.5,1,,0.7
ENSMUSG00000000296,Tpd52l1,13,7,4,10,5,9
ENSMUSG00000000301,Pemt,0.7,0.7,,,109,4
ENSMUSG00000000303,Cdh1,0.8,2,,66,10,0.5
ENSMUSG00000000305,Cdh4,5,4,1,0.5,,
ENSMUSG00000000308,Ckmt1,75,103,,29,,
ENSMUSG00000000317,Bcl6b,0.7,0.7,7,2,0.6,0.9
ENSMUSG00000000318,Clec10a,,,0.8,0.5,,
ENSMUSG00000000320,Alox12,,,1,2,,2
ENSMUSG00000000325,Arvcf,7,8,5,12,3,1
ENSMUSG00000000326,Comt,32,25,67,87,216,4
ENSMUSG00000000339,Rtca,12,13,6,8,3,24
ENSMUSG00000000340,Dbt,5,5,15,38,28,2
ENSMUSG00000000346,Dazap2,60,64,98,138,60,58
ENSMUSG00000000355,Mcts1,16,9,5,13,8,1
ENSMUSG00000000359,Rem1,,,3,4,,0.8
ENSMUSG00000000365,Rnf17,,,,,,28
ENSMUSG00000000374,Trappc10,27,26,15,19,8,8
ENSMUSG00000000378,Ccm2,15,10,7,6,5,4
ENSMUSG00000000384,Tbrg4,10,11,18,12,11,17
ENSMUSG00000000385,Tmprss2,,,,61,2,
ENSMUSG00000000386,Mx1,,,,,0.5,0.7
ENSMUSG00000000392,Fap,0.5,,0.7,,,
ENSMUSG00000000399,Ndufa9,78,103,387,215,99,84
ENSMUSG00000000402,Egfl6,0.9,0.9,,11,,
ENSMUSG00000000409,Lck,0.6,,0.7,0.8,0.7,0.5
ENSMUSG00000000411,Tssk3,,,,,,186
ENSMUSG00000000416,Cttnbp2,18,9,,3,,
ENSMUSG00000000420,Galnt1,11,11,19,29,9,6
ENSMUSG00000000439,Mkrn2,11,10,13,7,5,36
ENSMUSG00000000440,Pparg,2,0.6,4,1,2,1
ENSMUSG00000000441,Raf1,16,20,20,15,13,10
ENSMUSG00000000486,Sep-01,,0.7,2,2,0.9,
ENSMUSG00000000489,Pdgfb,11,5,13,9,0.7,0.7
ENSMUSG00000000530,Acvrl1,5,5,11,6,2,1
ENSMUSG00000000531,Grasp,24,3,5,3,1,1
ENSMUSG00000000532,Acvr1b,35,31,6,19,3,7
ENSMUSG00000000538,Tom1l2,41,37,21,20,5,4
ENSMUSG00000000552,Zfp385a,34,59,6,3,5,67
ENSMUSG00000000555,Itga5,2,0.6,18,3,5,
ENSMUSG00000000560,Gabra2,10,4,,,,
ENSMUSG00000000561,Wdr77,7,6,3,3,3,3
ENSMUSG00000000562,Adora3,,,,,,2
ENSMUSG00000000563,Atp5f1,32,29,112,67,42,15
ENSMUSG00000000567,Sox9,6,7,0.9,,0.9,4
ENSMUSG00000000568,Hnrnpd,21,27,7,11,4,9
ENSMUSG00000000579,Dynlt1c,4,8,2,3,0.8,4
ENSMUSG00000000581,C1d,5,4,4,8,7,2
ENSMUSG00000000594,Gm2a,16,15,6,69,53,50
ENSMUSG00000000600,Krit1,3,3,2,2,0.9,2
ENSMUSG00000000605,Clcn4,43,34,18,26,14,8
ENSMUSG00000000627,Sema4f,11,15,,,,0.5
ENSMUSG00000000628,Hk2,1,3,98,2,0.6,11
ENSMUSG00000000631,Myo18a,17,15,26,24,13,4
ENSMUSG00000000632,Sez6,52,26,,,,1
ENSMUSG00000000673,Haao,,,,133,444,
ENSMUSG00000000682,Cd52,0.8,,2,3,3,0.6
ENSMUSG00000000686,Abhd15,,,,0.5,8,
ENSMUSG00000000690,Hoxb6,,,,14,,0.6
ENSMUSG00000000693,Loxl3,1,1,2,1,0.6,
ENSMUSG00000000708,Kat2b,4,11,15,14,16,7
ENSMUSG00000000711,Rab5b,47,49,33,46,34,15
ENSMUSG00000000730,Dnmt3l,,,,,,2
ENSMUSG00000000732,Icosl,2,4,3,5,0.6,1
ENSMUSG00000000738,Spg7,13,17,25,23,11,24
ENSMUSG00000000739,Sult5a1,,,0.5,1,21,0.6
ENSMUSG00000000740,Rpl13,46,28,38,29,28,55
ENSMUSG00000000743,Chmp1a,27,16,19,24,18,28
ENSMUSG00000000751,Rpa1,9,13,9,9,5,37
ENSMUSG00000000753,Serpinf1,5,7,8,2,235,2
ENSMUSG00000000759,Tubgcp3,6,6,3,5,2,2
ENSMUSG00000000776,Polr3d,8,10,9,7,5,6
ENSMUSG00000000782,Tcf7,2,1,0.5,1,2,3
ENSMUSG00000000787,Ddx3x,37,56,34,57,33,7
ENSMUSG00000000791,Il12rb1,,,,,0.7,
ENSMUSG00000000792,Slc5a5,6,3,,,,0.5
ENSMUSG00000000794,Kcnn3,4,2,,,,
ENSMUSG00000000804,Usp32,22,15,5,13,5,34
ENSMUSG00000000805,Car4,17,74,9,55,,1
ENSMUSG00000000811,Txnrd3,2,1,6,11,3,199
ENSMUSG00000000823,Zfp512b,15,10,5,8,5,30
